Start_Time,End_Time,Wake_Sleep,Breathing_Rate_Deviation,Breathing_Rate_Variability,Num_Events,all_90th_percentile,variance,Sleep_Stage
2026-05-29 01:13:31,2026-05-29 01:16:31,0,2.32752808988765,0.0051314141902656,1,17.9775280898876,8.23449907704118,0
2026-05-29 01:16:31,2026-05-29 01:19:31,0,4.28355481727574,0.0017132438980641,0,19.9335548172757,5.6413401302207,0
2026-05-29 01:19:31,2026-05-29 01:22:31,1,5.09927953890489,0.0062215511862888,0,20.7492795389049,12.4984058059777,2
2026-05-29 01:22:31,2026-05-29 01:25:31,1,3.98993453355156,0.0023490568860548,0,19.6399345335516,7.8454069010046,2
2026-05-29 01:25:32,2026-05-29 01:28:32,1,5.52647058823529,0.0024210596349372,0,21.1764705882353,11.5683522339701,2
2026-05-29 01:28:32,2026-05-29 01:31:32,1,5.17928380035424,0.0026033738413722,0,20.8292838003542,9.40760712107855,2
2026-05-29 01:31:32,2026-05-29 01:34:32,1,1.83633879781422,0.0017293329315528,0,17.4863387978142,2.94582369887492,2
2026-05-29 01:34:32,2026-05-29 01:37:32,1,4.34999999999999,0.0018439927239981,0,20.0,5.09954503880259,2
2026-05-29 01:37:32,2026-05-29 01:40:32,1,3.70483870967742,0.0031753808623968,0,19.3548387096774,12.4291482251108,2
2026-05-29 01:40:33,2026-05-29 01:43:33,1,3.43548707753481,0.0062777067507061,2,19.0854870775348,9.78997671631223,2
2026-05-29 01:43:33,2026-05-29 01:46:33,1,5.21956521739131,0.0016855104000605,0,20.8695652173913,7.79007656785275,2
2026-05-29 01:46:33,2026-05-29 01:49:33,1,2.24787996416841,0.0028752023835634,0,17.8978799641684,6.30052870400803,2
2026-05-29 01:49:33,2026-05-29 01:52:33,1,1.86824817518248,0.0022898398214291,0,17.5182481751825,6.78464936110224,2
2026-05-29 01:52:33,2026-05-29 01:55:33,1,2.12777777777778,0.0025770851973118,0,17.7777777777778,8.52450675877696,2
2026-05-29 01:55:34,2026-05-29 01:58:34,1,1.59137931034483,0.0031611742062616,0,17.2413793103448,6.09329897880075,2
2026-05-29 01:58:34,2026-05-29 02:01:34,1,3.48875598086125,0.0018080956376469,0,19.1387559808612,7.08318071884255,2
2026-05-29 02:01:34,2026-05-29 02:04:34,1,6.01064981949458,0.0040943920411547,0,21.6606498194946,12.9421019380647,2
2026-05-29 02:04:34,2026-05-29 02:07:34,1,4.30677050222505,0.002710332327563,0,19.956770502225,6.93604056683103,2
2026-05-29 02:07:34,2026-05-29 02:10:34,1,3.63502165621565,0.0023115765789803,1,19.2850216562157,10.2775137311945,2
2026-05-29 02:10:35,2026-05-29 02:13:35,1,1.46229946524064,0.0030924472779412,0,17.1122994652406,5.58458354624307,2
2026-05-29 02:13:35,2026-05-29 02:16:35,1,4.15934895043565,0.0041247400022306,1,19.8093489504356,8.70756419938131,2
2026-05-29 02:16:35,2026-05-29 02:19:35,1,7.50112540192926,0.0026792887086412,0,23.1511254019293,8.71207116677069,2
2026-05-29 02:19:35,2026-05-29 02:22:35,1,5.2195652173913,0.0040374722483272,0,20.8695652173913,13.6191480428736,2
2026-05-29 02:22:35,2026-05-29 02:25:35,1,3.02178745439918,0.0030929105384282,0,18.6717874543992,8.95592827498137,2
2026-05-29 02:25:36,2026-05-29 02:28:36,1,1.58518850987433,0.0054497049992938,1,17.2351885098743,9.81973321431419,1
2026-05-29 02:28:36,2026-05-29 02:31:36,1,4.3180533370373,0.0048950124955265,0,19.9680533370373,10.8654859669843,1
2026-05-29 02:31:36,2026-05-29 02:34:36,1,2.50978874333351,0.0015242757440972,0,18.1597887433335,6.1031972022934,1
2026-05-29 02:34:36,2026-05-29 02:37:36,1,2.50431164901664,0.0090516747506285,1,18.1543116490166,9.47190534969649,1
2026-05-29 02:37:36,2026-05-29 02:40:36,1,4.89208273894436,0.0045051066977686,0,20.5420827389444,9.54705512236814,1
2026-05-29 02:40:37,2026-05-29 02:43:37,1,3.72047898338221,0.0028278399457343,0,19.3704789833822,10.1957508711222,2
2026-05-29 02:43:37,2026-05-29 02:46:37,1,3.03012422360248,0.0037594684771345,1,18.6801242236025,12.099803038171,2
2026-05-29 02:46:37,2026-05-29 02:49:37,1,4.10907979349697,0.0031620903855357,0,19.759079793497,7.48764120298935,2
2026-05-29 02:49:37,2026-05-29 02:52:37,1,3.11412440994096,0.0045489445755644,0,18.764124409941,10.2629859516037,2
2026-05-29 02:52:37,2026-05-29 02:55:37,1,5.0992795389049,0.0025320249846046,0,20.7492795389049,11.4196008743518,2
