Start_Time,End_Time,Wake_Sleep,Breathing_Rate_Deviation,Breathing_Rate_Variability,Num_Events,all_90th_percentile,variance,Sleep_Stage
2026/5/28 02:39,2026/5/28 02:42,0,2.772108434,0.006291845,0,19.27710843,9.141923897,0
2026/5/28 02:42,2026/5/28 02:45,0,4.609414897,0.004570179,0,21.1144149,17.12892576,0
2026/5/28 02:45,2026/5/28 02:48,0,3.086836735,0.002880158,0,19.59183673,6.943674995,0
2026/5/28 02:48,2026/5/28 02:51,0,3.439598338,0.002473699,0,19.94459834,9.859479818,0
2026/5/28 02:51,2026/5/28 02:54,0,1.900023548,0.002280582,2,18.40502355,5.86997939,0
2026/5/28 02:54,2026/5/28 02:57,1,2.591303058,0.005899658,0,19.09630306,7.532030513,2
2026/5/28 02:57,2026/5/28 03:00,1,2.135776699,0.002644773,0,18.6407767,5.059823109,2
2026/5/28 03:00,2026/5/28 03:03,1,3.73108769,0.002681207,0,20.23608769,9.180059662,2
2026/5/28 03:03,2026/5/28 03:06,1,0.231401674,0.002412127,0,16.73640167,4.850964836,2
2026/5/28 03:06,2026/5/28 03:09,1,3.495,0.002381082,0,20,7.445686537,2
2026/5/28 03:09,2026/5/28 03:12,1,2.767554771,0.004409041,0,19.27255477,6.473544435,2
2026/5/28 03:12,2026/5/28 03:15,1,1.223133428,0.002673562,0,17.72813343,5.419978466,2
2026/5/28 03:15,2026/5/28 03:18,1,5.386261705,0.005780196,0,21.8912617,15.25384105,2
2026/5/28 03:18,2026/5/28 03:21,1,3.070865129,0.002755014,0,19.57586513,6.250511185,2
2026/5/28 03:21,2026/5/28 03:24,1,1.74595057,0.002565745,0,18.25095057,5.866169844,2
2026/5/28 03:24,2026/5/28 03:27,1,1.338866171,0.004091961,0,17.84386617,5.042272003,2
2026/5/28 03:27,2026/5/28 03:30,1,3.162516078,0.001549166,0,19.66751608,5.500222032,2
2026/5/28 03:30,2026/5/28 03:33,1,3.528388982,0.002904753,0,20.03338898,11.47001646,2
2026/5/28 03:33,2026/5/28 03:36,1,2.128607818,0.002516418,0,18.63360782,7.224339689,2
2026/5/28 03:36,2026/5/28 03:39,1,2.891119833,0.003383773,0,19.39611983,8.252527204,2
2026/5/28 03:39,2026/5/28 03:42,1,3.277406577,0.002694843,1,19.78240658,7.270971678,2
2026/5/28 03:42,2026/5/28 03:45,1,2.527521859,0.003827308,2,19.03252186,8.215518214,2
