Start_Time,End_Time,Wake_Sleep,Breathing_Rate_Deviation,Breathing_Rate_Variability,Num_Events,all_90th_percentile,variance,Sleep_Stage
2026/9/8 01:45,2026/9/8 01:48,0,3.152297297,0.002172798,3,17.2972973,6.496574975,0
2026/9/8 01:48,2026/9/8 01:51,0,6.846253644,0.007193995,0,20.99125364,12.84353978,0
2026/9/8 01:51,2026/9/8 01:54,0,6.40827894,0.002672503,0,20.55327894,12.83844606,0
2026/9/8 01:54,2026/9/8 01:57,0,5.327616633,0.003281985,0,19.47261663,9.130975249,0
2026/9/8 01:57,2026/9/8 02:00,0,4.316538462,0.003416954,0,18.46153846,6.88905882,0
2026/9/8 02:00,2026/9/8 02:03,0,6.814661825,0.010880672,0,20.95966182,17.17739275,0
2026/9/8 02:03,2026/9/8 02:06,0,6.616245675,NaN,1,20.76124567,NaN,0
2026/9/8 02:06,2026/9/8 02:09,0,5.178671498,0.003208723,3,19.3236715,10.10834031,0
2026/9/8 02:09,2026/9/8 02:12,0,2.559408635,0.006695611,3,16.70440863,12.49373128,0
2026/9/8 02:12,2026/9/8 02:15,0,6.222751061,NaN,3,20.36775106,NaN,0
2026/9/8 02:15,2026/9/8 02:18,0,7.607265861,0.004188295,0,21.75226586,12.38631251,0
2026/9/8 02:18,2026/9/8 02:21,0,4.119840183,0.002077184,0,18.26484018,9.319809534,0
2026/9/8 02:21,2026/9/8 02:24,1,4.140714286,0.005223202,1,18.28571429,5.680973288,2
2026/9/8 02:24,2026/9/8 02:27,0,4.624257041,NaN,0,18.76925704,NaN,0
2026/9/8 02:27,2026/9/8 02:30,1,NaN,NaN,0,NaN,NaN,2
2026/9/8 02:30,2026/9/8 02:33,1,NaN,NaN,0,NaN,NaN,2
2026/9/8 02:33,2026/9/8 02:36,1,1.566947627,0.001584671,1,15.71194763,5.157398907,2
2026/9/8 02:36,2026/9/8 02:39,1,NaN,NaN,0,NaN,NaN,2
2026/9/8 02:39,2026/9/8 02:42,1,NaN,NaN,0,NaN,NaN,2
2026/9/8 02:42,2026/9/8 02:45,1,0.112425743,0.000625755,0,14.25742574,0.573984504,2
2026/9/8 02:45,2026/9/8 02:48,1,1.766786093,0.001485439,0,15.91178609,2.02635466,2
2026/9/8 02:48,2026/9/8 02:51,1,NaN,NaN,0,NaN,NaN,2
2026/9/8 02:51,2026/9/8 02:54,1,4.193712865,0.002046065,0,18.33871286,4.734240382,2
2026/9/8 02:54,2026/9/8 02:57,1,NaN,NaN,0,NaN,NaN,2
2026/9/8 02:57,2026/9/8 03:00,1,NaN,NaN,0,NaN,NaN,2
2026/9/8 03:00,2026/9/8 03:03,1,NaN,NaN,0,NaN,NaN,2
2026/9/8 03:03,2026/9/8 03:06,1,NaN,NaN,0,NaN,NaN,2
2026/9/8 03:07,2026/9/8 03:10,1,NaN,NaN,0,NaN,NaN,2
2026/9/8 03:10,2026/9/8 03:13,1,NaN,NaN,0,NaN,NaN,2
2026/9/8 03:13,2026/9/8 03:16,1,NaN,NaN,0,NaN,NaN,2
2026/9/8 03:16,2026/9/8 03:19,1,NaN,NaN,0,NaN,NaN,2
2026/9/8 03:19,2026/9/8 03:22,1,NaN,NaN,0,NaN,NaN,2
2026/9/8 03:22,2026/9/8 03:25,1,3.214855335,0.001951619,0,17.35985533,3.551597405,2
2026/9/8 03:25,2026/9/8 03:28,1,NaN,NaN,0,NaN,NaN,2
2026/9/8 03:28,2026/9/8 03:31,1,NaN,NaN,0,NaN,NaN,1
2026/9/8 03:31,2026/9/8 03:34,1,NaN,NaN,0,NaN,NaN,1
2026/9/8 03:34,2026/9/8 03:37,1,5.335519481,NaN,0,19.48051948,NaN,2
2026/9/8 03:37,2026/9/8 03:40,1,0.164417476,NaN,0,13.98058252,NaN,2
2026/9/8 03:40,2026/9/8 03:43,1,NaN,NaN,0,NaN,NaN,2
2026/9/8 03:43,2026/9/8 03:46,1,4.064408194,0.004701675,1,18.20940819,8.507908284,1
2026/9/8 03:46,2026/9/8 03:49,1,3.731643074,0.001535218,1,17.87664307,3.480329808,1
2026/9/8 03:49,2026/9/8 03:52,1,0.929712738,0.002913367,1,15.07471274,3.30003303,2
2026/9/8 03:52,2026/9/8 03:55,1,NaN,NaN,0,NaN,NaN,2
2026/9/8 03:55,2026/9/8 03:58,1,4.489073592,NaN,0,18.63407359,NaN,2
2026/9/8 03:58,2026/9/8 04:01,1,7.549234418,0.002507182,0,21.69423442,10.76738467,2
